web-scraper-order,web-scraper-start-url,vulnerability_type,name-href,affects_name,affects_version,type,published,page,page-href,versions,sign,CREDIT,disclosed,CVE,CWE,SNYK ID
1518565431-32905,http://f92dd709.ngrok.io,Information Exposure,https://snyk.io/vuln/SNYK-PYTHON-PYCRYPTO-40008,pycrypto,"[,2.6.1)",pip,"01 Aug, 2017",26,https://snyk.io/vuln/page/26,"[,2.6.1)",M,Unknown,"26 Oct, 2013",CVE-2013-1445,CWE-310,SNYK-PYTHON-PYCRYPTO-40008
1518565851-32912,http://f92dd709.ngrok.io,Arbitrary Code Execution,https://snyk.io/vuln/SNYK-PYTHON-PYTHONGNUPG-40270,python-gnupg,[0.3.5],pip,"01 Aug, 2017",26,https://snyk.io/vuln/page/26,[0.3.5],H,Unknown,"04 Feb, 2014",CVE-2014-1927,CWE-94,SNYK-PYTHON-PYTHONGNUPG-40270
1518566152-32916,http://f92dd709.ngrok.io,Insecure Temporary File,https://snyk.io/vuln/SNYK-PYTHON-SALT-40311,salt,"[,2014.7.4)",pip,"01 Aug, 2017",25,https://snyk.io/vuln/page/25,"[,2014.7.4)",M,Unknown,"25 Mar, 2015",CVE-2015-1838,CWE-377,SNYK-PYTHON-SALT-40311
1518565371-32904,http://f92dd709.ngrok.io,Denial of Service (DoS),https://snyk.io/vuln/SNYK-PYTHON-PIP-40297,pip,"[1.3,1.6)",pip,"01 Aug, 2017",26,https://snyk.io/vuln/page/26,"[1.3,1.6)",M,Unknown,"12 Nov, 2014",CVE-2014-8991,CWE-400,SNYK-PYTHON-PIP-40297
1518565191-32901,http://f92dd709.ngrok.io,Arbitrary Code Execution,https://snyk.io/vuln/SNYK-PYTHON-PIP-40179,pip,"[,1.3)",pip,"01 Aug, 2017",26,https://snyk.io/vuln/page/26,"[,1.3)",M,Unknown,"04 Jan, 2012",CVE-2013-1629,CWE-20,SNYK-PYTHON-PIP-40179
1518565611-32908,http://f92dd709.ngrok.io,Cross-site Scripting (XSS),https://snyk.io/vuln/SNYK-PYTHON-PYRAD-40000,pyrad,"[,1.0.1.14)",pip,"01 Aug, 2017",26,https://snyk.io/vuln/page/26,"[,1.0.1.14)",M,Unknown,"13 Apr, 2017",CVE-2009-3724,CWE-79,SNYK-PYTHON-PYRAD-40000
1518565251-32902,http://f92dd709.ngrok.io,Symlink Attack,https://snyk.io/vuln/SNYK-PYTHON-PIP-40180,pip,"[,1.3)",pip,"01 Aug, 2017",26,https://snyk.io/vuln/page/26,"[,1.3)",H,Unknown,"24 Feb, 2016",CVE-2013-1888,CWE-59,SNYK-PYTHON-PIP-40180
1518565911-32913,http://f92dd709.ngrok.io,Arbitrary Code Execution,https://snyk.io/vuln/SNYK-PYTHON-PYTHONGNUPG-40271,python-gnupg,[0.3.5],pip,"01 Aug, 2017",26,https://snyk.io/vuln/page/26,[0.3.5],M,Unknown,"04 Feb, 2014",CVE-2014-1928,CWE-94,SNYK-PYTHON-PYTHONGNUPG-40271
1518565671-32909,http://f92dd709.ngrok.io,Insecure Randomness,https://snyk.io/vuln/SNYK-PYTHON-PYRAD-40007,pyrad,"[,2.1)",pip,"01 Aug, 2017",26,https://snyk.io/vuln/page/26,"[,2.1)",L,Nathaniel McCallum,"15 Feb, 2013",CVE-2013-0294,null,SNYK-PYTHON-PYRAD-40007
1518503085-31899,http://f92dd709.ngrok.io,Cross-site Scripting (XSS),https://snyk.io/vuln/SNYK-PYTHON-SENTRY-40561,sentry,"[7.1.0,7.4.0)",pip,"01 Dec, 2016",59,https://snyk.io/vuln/page/59,"[7.1.0,7.4.0)",M,Unknown,"01 Dec, 2016",null,CWE-79,SNYK-PYTHON-SENTRY-40561
1518468051-31335,http://f92dd709.ngrok.io,Access Restriction Bypass,https://snyk.io/vuln/SNYK-PYTHON-DJANGO-40380,django,"[1.9,1.9.2)",pip,"01 Feb, 2016",78,https://snyk.io/vuln/page/78,"[1.9,1.9.2)",M,Myk Willis,"01 Feb, 2016",CVE-2016-2048,CWE-284,SNYK-PYTHON-DJANGO-40380
1518473099-31416,http://f92dd709.ngrok.io,Cross-site Scripting (XSS),https://snyk.io/vuln/SNYK-PYTHON-DJANGO-40382,django,"[,1.8.10), [1.9,1.9.3)",pip,"01 Mar, 2016",75,https://snyk.io/vuln/page/75,"[,1.8.10), [1.9,1.9.3)",M,Mark Striemer,"01 Mar, 2016",CVE-2016-2512,CWE-79,SNYK-PYTHON-DJANGO-40382
1518473159-31417,http://f92dd709.ngrok.io,Timing Attack,https://snyk.io/vuln/SNYK-PYTHON-DJANGO-40383,django,"[,1.8.10), [1.9,1.9.3)",pip,"01 Mar, 2016",75,https://snyk.io/vuln/page/75,"[,1.8.10), [1.9,1.9.3)",L,Sjoerd Job Postmus,"01 Mar, 2016",CVE-2016-2513,CWE-200,SNYK-PYTHON-DJANGO-40383
1518451345-30434,http://f92dd709.ngrok.io,Arbitrary Code Execution,https://snyk.io/vuln/SNYK-PYTHON-BOTTLE-40278,bottle,"[0.8,0.10.12), [0.11,0.11.7), [0.12,0.12.6)",pip,"01 May, 2014",108,https://snyk.io/vuln/page/108,"[0.8,0.10.12), [0.11,0.11.7), [0.12,0.12.6)",M,Unknown,"01 May, 2014",CVE-2014-3137,CWE-20,SNYK-PYTHON-BOTTLE-40278
1518500381-31856,http://f92dd709.ngrok.io,Use of a Risky Cryptographic Algorithm,https://snyk.io/vuln/SNYK-PYTHON-CRYPTOGRAPHY-40445,cryptography,"[,1.5.2)",pip,"01 Nov, 2016",61,https://snyk.io/vuln/page/61,"[,1.5.2)",M,Markus Rudy,"01 Nov, 2016",CVE-2016-9243,CWE-327,SNYK-PYTHON-CRYPTOGRAPHY-40445
1518500501-31858,http://f92dd709.ngrok.io,Cross-site Scripting (XSS),https://snyk.io/vuln/SNYK-PYTHON-MOIN-40431,moin,"[,1.9.9)",pip,"01 Nov, 2016",61,https://snyk.io/vuln/page/61,"[,1.9.9)",M,Unknown,"01 Nov, 2016",CVE-2016-7146,CWE-79,SNYK-PYTHON-MOIN-40431
1518500561-31859,http://f92dd709.ngrok.io,Cross-site Scripting (XSS),https://snyk.io/vuln/SNYK-PYTHON-MOIN-40433,moin,"[,1.9.9)",pip,"01 Nov, 2016",61,https://snyk.io/vuln/page/61,"[,1.9.9)",M,Unknown,"01 Nov, 2016",CVE-2016-7148,CWE-79,SNYK-PYTHON-MOIN-40433
1518500320-31855,http://f92dd709.ngrok.io,Use of hardcoded DB password,https://snyk.io/vuln/SNYK-PYTHON-DJANGO-40439,django,"[,1.8.16), [1.9,1.9.11), [1.10,1.10.3)",pip,"01 Nov, 2016",61,https://snyk.io/vuln/page/61,"[,1.8.16), [1.9,1.9.11), [1.10,1.10.3)",H,Marti Raudsepp,"01 Nov, 2016",CVE-2016-9013,null,SNYK-PYTHON-DJANGO-40439
1518500441-31857,http://f92dd709.ngrok.io,Cross-site Scripting (XSS),https://snyk.io/vuln/SNYK-PYTHON-MOIN-40442,moin,"[,1.9.8)",pip,"01 Nov, 2016",61,https://snyk.io/vuln/page/61,"[,1.9.8)",M,Unknown,"01 Nov, 2016",CVE-2016-9119,CWE-79,SNYK-PYTHON-MOIN-40442
1518500681-31861,http://f92dd709.ngrok.io,Arbitrary Command Execution,https://snyk.io/vuln/SNYK-PYTHON-ANSIBLE-40437,ansible,"[,2.1.3)",pip,"01 Nov, 2016",61,https://snyk.io/vuln/page/61,"[,2.1.3)",H,Michael Scherer,"01 Nov, 2016",CVE-2016-8628,CWE-77,SNYK-PYTHON-ANSIBLE-40437
1518500621-31860,http://f92dd709.ngrok.io,Improper Key Validation,https://snyk.io/vuln/SNYK-PYTHON-ANSIBLE-40436,ansible,"[2,2.1.3)",pip,"01 Nov, 2016",61,https://snyk.io/vuln/page/61,"[2,2.1.3)",M,Unknown,"01 Nov, 2016",CVE-2016-8614,CWE-358,SNYK-PYTHON-ANSIBLE-40436
1518450846-30230,http://f92dd709.ngrok.io,Arbitrary Code Execution,https://snyk.io/vuln/SNYK-PYTHON-SCIPY-40221,scipy,"[0.12,0.12.1)",pip,"01 Sep, 2013",115,https://snyk.io/vuln/page/115,"[0.12,0.12.1)",H,Florian Weimer,"01 Sep, 2013",CVE-2013-4251,CWE-94,SNYK-PYTHON-SCIPY-40221
1518449939-29863,http://f92dd709.ngrok.io,Denial of Service (DoS),https://snyk.io/vuln/SNYK-PYTHON-PYFTPDLIB-40054,pyftpdlib,"[,0.5.2)",pip,"02 Apr, 2009",127,https://snyk.io/vuln/page/127,"[,0.5.2)",M,Giampaolo Rodola,"02 Apr, 2009",CVE-2010-3494,CWE-362,SNYK-PYTHON-PYFTPDLIB-40054
1518500801-31863,http://f92dd709.ngrok.io,DNS Rebinding,https://snyk.io/vuln/SNYK-PYTHON-DJANGO-40440,django,"[,1.8.16), [1.9,1.9.11), [1.10,1.10.3)",pip,"02 Nov, 2016",61,https://snyk.io/vuln/page/61,"[,1.8.16), [1.9,1.9.11), [1.10,1.10.3)",H,Aymeric Augustin,"02 Nov, 2016",CVE-2016-9014,null,SNYK-PYTHON-DJANGO-40440
1518450061-29910,http://f92dd709.ngrok.io,Arbitrary File Creation,https://snyk.io/vuln/SNYK-PYTHON-PLONE-40061,plone,"[2.5,4.1)",pip,"03 Feb, 2011",126,https://snyk.io/vuln/page/126,"[2.5,4.1)",H,Unknown,"03 Feb, 2011",CVE-2011-0720,CWE-264,SNYK-PYTHON-PLONE-40061
1518452153-30784,http://f92dd709.ngrok.io,Access Restriction Bypass,https://snyk.io/vuln/SNYK-PYTHON-PYSAML2-40567,pysaml2,"[,2.3.0)",pip,"03 Feb, 2015",97,https://snyk.io/vuln/page/97,"[,2.3.0)",M,Ehsan Foroughi,"03 Feb, 2015",null,null,SNYK-PYTHON-PYSAML2-40567
1518450213-29975,http://f92dd709.ngrok.io,Privilege Escalation,https://snyk.io/vuln/SNYK-PYTHON-TRYTOND-40090,trytond,"[,2.4.0)",pip,"03 Mar, 2012",123,https://snyk.io/vuln/page/123,"[,2.4.0)",M,Unknown,"03 Mar, 2012",CVE-2012-0215,CWE-264,SNYK-PYTHON-TRYTOND-40090
1518473399-31421,http://f92dd709.ngrok.io,Arbitrary Code Execution,https://snyk.io/vuln/SNYK-PYTHON-ANSIBLE-40289,ansible,"[,1.6.4)",pip,"03 Mar, 2016",75,https://snyk.io/vuln/page/75,"[,1.6.4)",H,Unknown,"03 Mar, 2016",CVE-2014-4678,CWE-94,SNYK-PYTHON-ANSIBLE-40289
1518530758-32345,http://f92dd709.ngrok.io,Arbitrary Code Execution,https://snyk.io/vuln/SNYK-PYTHON-AIRFLOW-40616,airflow,"[,1.8.0)",pip,"03 Mar, 2017",44,https://snyk.io/vuln/page/44,"[,1.8.0)",H,Unknown,"03 Mar, 2017",null,CWE-94,SNYK-PYTHON-AIRFLOW-40616
1518588214-33273,http://f92dd709.ngrok.io,Arbitrary Command Injection,https://snyk.io/vuln/SNYK-PYTHON-DULWICH-40686,dulwich,"[,0.18.5]",pip,"03 Nov, 2017",14,https://snyk.io/vuln/page/14,"[,0.18.5]",H,Unknown,"28 Oct, 2017",CVE-2017-16228,CWE-77,SNYK-PYTHON-DULWICH-40686
1518488422-31663,http://f92dd709.ngrok.io,Denial of Service (DoS),https://snyk.io/vuln/SNYK-PYTHON-HPACK-40409,hpack,"[,2.3.0)",pip,"04 Aug, 2016",67,https://snyk.io/vuln/page/67,"[,2.3.0)",H,Cory Benfield,"04 Aug, 2016",CVE-2016-6581,null,SNYK-PYTHON-HPACK-40409
1518488362-31662,http://f92dd709.ngrok.io,Denial of Service (DoS),https://snyk.io/vuln/SNYK-PYTHON-PRIORITY-40408,priority,"[,1.2.0)",pip,"04 Aug, 2016",67,https://snyk.io/vuln/page/67,"[,1.2.0)",M,Cory Benfield,"04 Aug, 2016",CVE-2016-6580,CWE-400,SNYK-PYTHON-PRIORITY-40408
1518597304-33419,http://f92dd709.ngrok.io,Cross-site Scripting (XSS),https://snyk.io/vuln/SNYK-PYTHON-IPYTHON-40723,ipython,"[,3.2.2)",pip,"04 Dec, 2017",9,https://snyk.io/vuln/page/9,"[,3.2.2)",M,Juan Broullón,"21 Sep, 2015",CVE-2015-6938,CWE-79,SNYK-PYTHON-IPYTHON-40723
1518598328-33435,http://f92dd709.ngrok.io,Directory Traversal,https://snyk.io/vuln/SNYK-PYTHON-SETUPTOOLS-40729,setuptools,"[,3.0)",pip,"04 Dec, 2017",8,https://snyk.io/vuln/page/8,"[,3.0)",M,Christian Heimes,"03 Jun, 2013",null,CWE-22,SNYK-PYTHON-SETUPTOOLS-40729
1518597123-33416,http://f92dd709.ngrok.io,Access Restriction Bypass,https://snyk.io/vuln/SNYK-PYTHON-FORMENCODE-40737,formencode,"[,1.0.1)",pip,"04 Dec, 2017",9,https://snyk.io/vuln/page/9,"[,1.0.1)",M,Petter Urkedal,"05 Nov, 2017",CVE-2008-6547,CWE-284,SNYK-PYTHON-FORMENCODE-40737
1518597907-33428,http://f92dd709.ngrok.io,Access Restriction Bypass,https://snyk.io/vuln/SNYK-PYTHON-PYJWT-40753,pyjwt,"[,1.5.1)",pip,"04 Dec, 2017",8,https://snyk.io/vuln/page/8,"[,1.5.1)",H,Unknown,"22 Jun, 2017",CVE-2017-11424,CWE-284,SNYK-PYTHON-PYJWT-40753
1518596521-33406,http://f92dd709.ngrok.io,Denial of Service (DoS),https://snyk.io/vuln/SNYK-PYTHON-CRYPTOGRAPHY-40721,cryptography,"[,1.0.2)",pip,"04 Dec, 2017",9,https://snyk.io/vuln/page/9,"[,1.0.2)",M,Emilia Käsper,"27 Sep, 2015",null,CWE-400,SNYK-PYTHON-CRYPTOGRAPHY-40721
1518597727-33425,http://f92dd709.ngrok.io,Cross-site Scripting (XSS),https://snyk.io/vuln/SNYK-PYTHON-PASTE-40744,paste,"[,1.7.4)",pip,"04 Dec, 2017",8,https://snyk.io/vuln/page/8,"[,1.7.4)",M,Tim Wintle,"15 Jun, 2010",null,CWE-79,SNYK-PYTHON-PASTE-40744
1518596823-33411,http://f92dd709.ngrok.io,Timing Attack,https://snyk.io/vuln/SNYK-PYTHON-DJANGOHAYSTACK-40757,django-haystack,"[,1.1)",pip,"04 Dec, 2017",9,https://snyk.io/vuln/page/9,"[,1.1)",M,Unknown,"24 Mar, 2009",null,CWE-362,SNYK-PYTHON-DJANGOHAYSTACK-40757
1518597545-33423,http://f92dd709.ngrok.io,Directory Traversal,https://snyk.io/vuln/SNYK-PYTHON-PASTE-40742,paste,"[,0.9.5)",pip,"04 Dec, 2017",9,https://snyk.io/vuln/page/9,"[,0.9.5)",M,Unknown,"19 Jun, 2017",null,CWE-22,SNYK-PYTHON-PASTE-40742
1518598268-33434,http://f92dd709.ngrok.io,Man-in-the-Middle (MitM),https://snyk.io/vuln/SNYK-PYTHON-SETUPTOOLS-40728,setuptools,"[,1.3)",pip,"04 Dec, 2017",8,https://snyk.io/vuln/page/8,"[,1.3)",M,Unknown,"28 Oct, 2013",null,CWE-19,SNYK-PYTHON-SETUPTOOLS-40728
1518596341-33403,http://f92dd709.ngrok.io,Cross-Site Scripting (XSS),https://snyk.io/vuln/SNYK-PYTHON-BLEACH-40754,bleach,"[,2.1)",pip,"04 Dec, 2017",9,https://snyk.io/vuln/page/9,"[,2.1)",M,Jonathan Vanasco,"04 Aug, 2017",null,CWE-79,SNYK-PYTHON-BLEACH-40754
1518598148-33432,http://f92dd709.ngrok.io,Access Restriction Bypass,https://snyk.io/vuln/SNYK-PYTHON-PYTHONKEYSTONECLIENT-40716,python-keystoneclient,"[1.5,1.5.4),[2,2.3.3)",pip,"04 Dec, 2017",8,https://snyk.io/vuln/page/8,"[1.5,1.5.4),[2,2.3.3)",H,Liu Sheng,"05 Nov, 2017",CVE-2015-7546,CWE-264,SNYK-PYTHON-PYTHONKEYSTONECLIENT-40716
1518596281-33402,http://f92dd709.ngrok.io,Cross-Site Scripting (XSS),https://snyk.io/vuln/SNYK-PYTHON-BEAKER-40703,beaker,"[,0.9.4)",pip,"04 Dec, 2017",9,https://snyk.io/vuln/page/9,"[,0.9.4)",M,Unknown,"03 Apr, 2008",null,CWE-79,SNYK-PYTHON-BEAKER-40703
1518598208-33433,http://f92dd709.ngrok.io,Denial of Service (DoS),https://snyk.io/vuln/SNYK-PYTHON-SETUPTOOLS-40727,setuptools,"[,0.9.5)",pip,"04 Dec, 2017",8,https://snyk.io/vuln/page/8,"[,0.9.5)",M,Unknown,"05 Nov, 2017",null,CWE-399,SNYK-PYTHON-SETUPTOOLS-40727
1518598027-33430,http://f92dd709.ngrok.io,Cross-site Scripting (XSS),https://snyk.io/vuln/SNYK-PYTHON-PYTHONCJSON-40752,python-cjson,"[,1.0.5]",pip,"04 Dec, 2017",8,https://snyk.io/vuln/page/8,"[,1.0.5]",M,Unknown,"02 Jul, 2010",CVE-2009-4924,CWE-79,SNYK-PYTHON-PYTHONCJSON-40752
1518597063-33415,http://f92dd709.ngrok.io,Cross-Site Scripting (XSS),https://snyk.io/vuln/SNYK-PYTHON-DJANGORESTFRAMEWORK-40760,djangorestframework,"[,2.3.14)",pip,"04 Dec, 2017",9,https://snyk.io/vuln/page/9,"[,2.3.14)",M,Unknown,"12 Jun, 2014",null,CWE-79,SNYK-PYTHON-DJANGORESTFRAMEWORK-40760
1518596221-33401,http://f92dd709.ngrok.io,Directory Traversal,https://snyk.io/vuln/SNYK-PYTHON-AWSCLI-40712,awscli,"[,1.11.83)",pip,"04 Dec, 2017",9,https://snyk.io/vuln/page/9,"[,1.11.83)",M,Unknown,"22 Apr, 2017",null,CWE-22,SNYK-PYTHON-AWSCLI-40712
1518596702-33409,http://f92dd709.ngrok.io,XML External Entity (XXE) Injection,https://snyk.io/vuln/SNYK-PYTHON-DEFUSEDXML-40746,defusedxml,"[,0.4)",pip,"04 Dec, 2017",9,https://snyk.io/vuln/page/9,"[,0.4)",H,Unknown,"25 Feb, 2013",CVE-2013-1665,CWE-611,SNYK-PYTHON-DEFUSEDXML-40746
